Array, "Array is a JavaScript builtin and should usually not be translated."
ArrayBuffer, "ArrayBuffer is a JavaScript builtin and should usually not be translated."
Atomics, "Atomics is a JavaScript builtin and should usually not be translated."
Boolean, "Boolean is a JavaScript builtin and should usually not be translated."
constructor, "constructor is a JavaScript builtin and should usually not be translated."
DataView, "DataView is a JavaScript builtin and should usually not be translated."
Date, "Date is a JavaScript builtin and should usually not be translated."
decodeURI, "decodeURI is a JavaScript builtin and should usually not be translated."
decodeURIComponent, "decodeURIComponent is a JavaScript builtin and should usually not be translated."
encodeURI, "encodeURI is a JavaScript builtin and should usually not be translated."
encodeURIComponent, "encodeURIComponent is a JavaScript builtin and should usually not be translated."
Error, "Error is a JavaScript builtin and should usually not be translated."
escape, "escape is a JavaScript builtin and should usually not be translated."
eval, "eval is a JavaScript builtin and should usually not be translated."
EvalError, "EvalError is a JavaScript builtin and should usually not be translated."
Float32Array, "Float32Array is a JavaScript builtin and should usually not be translated."
Float64Array, "Float64Array is a JavaScript builtin and should usually not be translated."
Function, "Function is a JavaScript builtin and should usually not be translated."
hasOwnProperty, "hasOwnProperty is a JavaScript builtin and should usually not be translated."
Infinity, "Infinity is a JavaScript builtin and should usually not be translated."
Int16Array, "Int16Array is a JavaScript builtin and should usually not be translated."
Int32Array, "Int32Array is a JavaScript builtin and should usually not be translated."
Int8Array, "Int8Array is a JavaScript builtin and should usually not be translated."
isFinite, "isFinite is a JavaScript builtin and should usually not be translated."
isNaN, "isNaN is a JavaScript builtin and should usually not be translated."
isPrototypeOf, "isPrototypeOf is a JavaScript builtin and should usually not be translated."
JSON, "JSON is a JavaScript builtin and should usually not be translated."
Map, "Map is a JavaScript builtin and should usually not be translated."
Math, "Math is a JavaScript builtin and should usually not be translated."
NaN, "NaN is a JavaScript builtin and should usually not be translated."
Number, "Number is a JavaScript builtin and should usually not be translated."
Object, "Object is a JavaScript builtin and should usually not be translated."
parseFloat, "parseFloat is a JavaScript builtin and should usually not be translated."
parseInt, "parseInt is a JavaScript builtin and should usually not be translated."
Promise, "Promise is a JavaScript builtin and should usually not be translated."
propertyIsEnumerable, "propertyIsEnumerable is a JavaScript builtin and should usually not be translated."
Proxy, "Proxy is a JavaScript builtin and should usually not be translated."
RangeError, "RangeError is a JavaScript builtin and should usually not be translated."
ReferenceError, "ReferenceError is a JavaScript builtin and should usually not be translated."
Reflect, "Reflect is a JavaScript builtin and should usually not be translated."
RegExp, "RegExp is a JavaScript builtin and should usually not be translated."
Set, "Set is a JavaScript builtin and should usually not be translated."
SharedArrayBuffer, "SharedArrayBuffer is a JavaScript builtin and should usually not be translated."
String, "String is a JavaScript builtin and should usually not be translated."
Symbol, "Symbol is a JavaScript builtin and should usually not be translated."
SyntaxError, "SyntaxError is a JavaScript builtin and should usually not be translated."
toLocaleString, "toLocaleString is a JavaScript builtin and should usually not be translated."
toString, "toString is a JavaScript builtin and should usually not be translated."
TypeError, "TypeError is a JavaScript builtin and should usually not be translated."
Uint16Array, "Uint16Array is a JavaScript builtin and should usually not be translated."
Uint32Array, "Uint32Array is a JavaScript builtin and should usually not be translated."
Uint8Array, "Uint8Array is a JavaScript builtin and should usually not be translated."
Uint8ClampedArray, "Uint8ClampedArray is a JavaScript builtin and should usually not be translated."
undefined, "undefined is a JavaScript builtin and should usually not be translated."
unescape, "unescape is a JavaScript builtin and should usually not be translated."
URIError, "URIError is a JavaScript builtin and should usually not be translated."
valueOf, "valueOf is a JavaScript builtin and should usually not be translated."
WeakMap, "WeakMap is a JavaScript builtin and should usually not be translated."
WeakSet, "WeakSet is a JavaScript builtin and should usually not be translated."
app, "This is an Electron Module and should usually not be translated"
autoUpdater, "This is an Electron Module and should usually not be translated"
BluetoothDevice, "This is an Electron Structure and should usually not be translated"
BrowserView, "This is an Electron Class and should usually not be translated"
BrowserWindow, "This is an Electron Class and should usually not be translated"
BrowserWindowProxy, "This is an Electron Class and should usually not be translated"
Certificate, "This is an Electron Structure and should usually not be translated"
CertificatePrincipal, "This is an Electron Structure and should usually not be translated"
ClientRequest, "This is an Electron Class and should usually not be translated"
clipboard, "This is an Electron Module and should usually not be translated"
contentTracing, "This is an Electron Module and should usually not be translated"
Cookie, "This is an Electron Structure and should usually not be translated"
Cookies, "This is an Electron Class and should usually not be translated"
CPUUsage, "This is an Electron Structure and should usually not be translated"
CrashReport, "This is an Electron Structure and should usually not be translated"
crashReporter, "This is an Electron Module and should usually not be translated"
Debugger, "This is an Electron Class and should usually not be translated"
desktopCapturer, "This is an Electron Module and should usually not be translated"
DesktopCapturerSource, "This is an Electron Structure and should usually not be translated"
dialog, "This is an Electron Module and should usually not be translated"
Display, "This is an Electron Structure and should usually not be translated"
DownloadItem, "This is an Electron Class and should usually not be translated"
FileFilter, "This is an Electron Structure and should usually not be translated"
globalShortcut, "This is an Electron Module and should usually not be translated"
GPUFeatureStatus, "This is an Electron Structure and should usually not be translated"
IncomingMessage, "This is an Electron Class and should usually not be translated"
IOCounters, "This is an Electron Structure and should usually not be translated"
ipcMain, "This is an Electron Module and should usually not be translated"
ipcRenderer, "This is an Electron Module and should usually not be translated"
JumpListCategory, "This is an Electron Structure and should usually not be translated"
JumpListItem, "This is an Electron Structure and should usually not be translated"
MemoryInfo, "This is an Electron Structure and should usually not be translated"
MemoryUsageDetails, "This is an Electron Structure and should usually not be translated"
Menu, "This is an Electron Class and should usually not be translated"
MenuItem, "This is an Electron Class and should usually not be translated"
MimeTypedBuffer, "This is an Electron Structure and should usually not be translated"
nativeImage, "This is an Electron Module and should usually not be translated"
NativeImage, "This is an Electron Class and should usually not be translated"
net, "This is an Electron Module and should usually not be translated"
Notification, "This is an Electron Class and should usually not be translated"
NotificationAction, "This is an Electron Structure and should usually not be translated"
Point, "This is an Electron Structure and should usually not be translated"
powerMonitor, "This is an Electron Module and should usually not be translated"
powerSaveBlocker, "This is an Electron Module and should usually not be translated"
PrinterInfo, "This is an Electron Structure and should usually not be translated"
process, "This is an Electron Module and should usually not be translated"
ProcessMetric, "This is an Electron Structure and should usually not be translated"
protocol, "This is an Electron Module and should usually not be translated"
Rectangle, "This is an Electron Structure and should usually not be translated"
remote, "This is an Electron Module and should usually not be translated"
RemoveClientCertificate, "This is an Electron Structure and should usually not be translated"
RemovePassword, "This is an Electron Structure and should usually not be translated"
screen, "This is an Electron Module and should usually not be translated"
ScrubberItem, "This is an Electron Structure and should usually not be translated"
SegmentedControlSegment, "This is an Electron Structure and should usually not be translated"
session, "This is an Electron Module and should usually not be translated"
Session, "This is an Electron Class and should usually not be translated"
shell, "This is an Electron Module and should usually not be translated"
ShortcutDetails, "This is an Electron Structure and should usually not be translated"
Size, "This is an Electron Structure and should usually not be translated"
StreamProtocolResponse, "This is an Electron Structure and should usually not be translated"
systemPreferences, "This is an Electron Module and should usually not be translated"
Task, "This is an Electron Structure and should usually not be translated"
ThumbarButton, "This is an Electron Structure and should usually not be translated"
TouchBar, "This is an Electron Class and should usually not be translated"
Tray, "This is an Electron Class and should usually not be translated"
UploadBlob, "This is an Electron Structure and should usually not be translated"
UploadData, "This is an Electron Structure and should usually not be translated"
UploadFile, "This is an Electron Structure and should usually not be translated"
UploadFileSystem, "This is an Electron Structure and should usually not be translated"
UploadRawData, "This is an Electron Structure and should usually not be translated"
webContents, "This is an Electron Module and should usually not be translated"
WebContents, "This is an Electron Class and should usually not be translated"
webFrame, "This is an Electron Module and should usually not be translated"
WebRequest, "This is an Electron Class and should usually not be translated"
webviewTag, "This is an Electron Element and should usually not be translated"
view.setAutoResize, "This is an Electron instance method and should usually not be translated"
view.setBounds, "This is an Electron instance method and should usually not be translated"
view.setBackgroundColor, "This is an Electron instance method and should usually not be translated"
view.webContents, "This is an Electron instance property and should usually not be translated"
view.id, "This is an Electron instance property and should usually not be translated"
win.destroy, "This is an Electron instance method and should usually not be translated"
win.close, "This is an Electron instance method and should usually not be translated"
win.focus, "This is an Electron instance method and should usually not be translated"
win.blur, "This is an Electron instance method and should usually not be translated"
win.isFocused, "This is an Electron instance method and should usually not be translated"
win.isDestroyed, "This is an Electron instance method and should usually not be translated"
win.show, "This is an Electron instance method and should usually not be translated"
win.showInactive, "This is an Electron instance method and should usually not be translated"
win.hide, "This is an Electron instance method and should usually not be translated"
win.isVisible, "This is an Electron instance method and should usually not be translated"
win.isModal, "This is an Electron instance method and should usually not be translated"
win.maximize, "This is an Electron instance method and should usually not be translated"
win.unmaximize, "This is an Electron instance method and should usually not be translated"
win.isMaximized, "This is an Electron instance method and should usually not be translated"
win.minimize, "This is an Electron instance method and should usually not be translated"
win.restore, "This is an Electron instance method and should usually not be translated"
win.isMinimized, "This is an Electron instance method and should usually not be translated"
win.setFullScreen, "This is an Electron instance method and should usually not be translated"
win.isFullScreen, "This is an Electron instance method and should usually not be translated"
win.setSimpleFullScreen, "This is an Electron instance method and should usually not be translated"
